sheet_name,sector_code_9th,sector_name,final_category_name,notes,active,esto_flow_override,category_type,measure,dashboard_note_override,dashboard_page,dashboard_level
trans_dist_loss_own_use_total,10_02_transmission_and_distribution_losses,Transmission and distribution losses,Transmission and distribution losses,Derived transmission and distribution losses & own use total from inputs minus product outputs; mapped to 10_02 loss comparator,TRUE,,fuel,Losses (PJ),,Losses & own use,
refining_out_feed,09_07_oil_refineries,Oil refineries,Oil refineries,Refinery outputs by feedstock,TRUE,,fuel,Outputs by Feedstock Fuel (Petajoules),,Refining,1
refining_out_fuel,09_07_oil_refineries,Oil refineries,Oil refineries,Refinery outputs by product,TRUE,,fuel,Outputs by Output Fuel (Petajoules),,Refining,1
refining_loss_own_use_total,10_01_11_oil_refineries,Oil refineries (own-use),Oil refineries (own-use),Derived refining losses & own use total from inputs minus product outputs; mapped to 10_01_11 own-use comparator,TRUE,,fuel,Losses (PJ),,Losses & own use,
ng_liq_out_feed,09_06_gas_processing_plants,Gas processing plants,Gas processing plants,Gas processing outputs by feedstock,TRUE,,fuel,Outputs by Feedstock Fuel (Petajoules),,Other transformation,
ng_liq_out_fuel,09_06_gas_processing_plants,Gas processing plants,Gas processing plants,Gas processing outputs by product,TRUE,,fuel,Outputs by Output Fuel (Petajoules),,Other transformation,
ng_liq_loss_own_use_total,09_06_gas_processing_plants,Gas processing plants,Gas processing plants,Derived gas processing losses & own use total from inputs minus product outputs,TRUE,,fuel,Losses (PJ),,Losses & own use,
elecgen capacity,09_01_electricity_plants,Electricity plants,Electricity plants,Capacity in Thousand Megawatts (kept out of PJ comparisons),FALSE,,fuel,Capacity (Thousand Megawatts),,elecgen capacity,
elecgen_out_feed,09_01_electricity_plants,Electricity plants,Electricity plants,Electricity generation outputs by feedstock,TRUE,,fuel,Outputs by Feedstock Fuel (Petajoules),,Power,
elecgen_out_fuel,09_01_electricity_plants,Electricity plants,Electricity plants,Electricity generation outputs by product,TRUE,,fuel,Outputs by Output Fuel (Petajoules),,Power,
elecgen_inputs,09_01_electricity_plants,Electricity plants,Electricity plants,Electricity generation inputs,TRUE,,fuel,Inputs (Petajoules),,Power,
elecgen_loss_own_use_total,10_01_01_electricity_chp_and_heat_plants,Electricity plants,Electricity plants,Derived electricity generation losses & own use total from inputs minus product outputs,TRUE,,fuel,Losses (PJ),,Losses & own use,
gasworks_inputs,09_06_01_gas_works_plants,Gas works plants,Gas works plants,Gas works plant inputs,TRUE,,fuel,Inputs (Petajoules),,Other transformation,
gasworks_out_feed,09_06_01_gas_works_plants,Gas works plants,Gas works plants,Gas works outputs by feedstock,TRUE,,fuel,Outputs by Feedstock Fuel (Petajoules),,Other transformation,
gasworks_out_fuel,09_06_01_gas_works_plants,Gas works plants,Gas works plants,Gas works outputs by product,TRUE,,fuel,Outputs by Output Fuel (Petajoules),,Other transformation,
